AGE,DECIMALS,INDICATOR,COMP_BREAKDOWN_2,TIME_PERIOD,UNIT_TYPE,COMMENT_TS,URBANISATION,LATEST_DATA,DATABASE_ID,TIME_FORMAT,OBS_STATUS,COMP_BREAKDOWN_1,UNIT_MEASURE,REF_AREA,FREQ,AGG_METHOD,DATA_SOURCE,UNIT_MULT,COMMENT_OBS,OBS_CONF,OBS_VALUE,COMP_BREAKDOWN_3,SEX
_T,,WB_MPM_HEADCOUNT,_Z,2014,,,_T,False,WB_MPM,602,A,_Z,PT,CHE,A,,,0,,PU,0.116272,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2015,,,_T,False,WB_MPM,602,A,_Z,PT,CHE,A,,,0,,PU,0.048199,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2016,,,_T,False,WB_MPM,602,A,_Z,PT,CHE,A,,,0,,PU,0.0575188,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2017,,,_T,False,WB_MPM,602,A,_Z,PT,CHE,A,,,0,,PU,0.008811,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2018,,,_T,False,WB_MPM,602,A,_Z,PT,CHE,A,,,0,,PU,0.073298,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2019,,,_T,False,WB_MPM,602,A,_Z,PT,CHE,A,,,0,,PU,0.0887279,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2020,,,_T,True,WB_MPM,602,A,_Z,PT,CHE,A,,,0,,PU,0.115307,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2011,,,_T,False,WB_MPM,602,A,_Z,PT,CHL,A,,,0,,PU,0.991914,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2013,,,_T,False,WB_MPM,602,A,_Z,PT,CHL,A,,,0,,PU,0.602094,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2015,,,_T,False,WB_MPM,602,A,_Z,PT,CHL,A,,,0,,PU,0.470644,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2017,,,_T,False,WB_MPM,602,A,_Z,PT,CHL,A,,,0,,PU,0.423557,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2020,,,_T,False,WB_MPM,602,A,_Z,PT,CHL,A,,,0,,PU,1.81606,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2022,,,_T,True,WB_MPM,602,A,_Z,PT,CHL,A,,,0,,PU,0.46388,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2015,,,_T,False,WB_MPM,602,A,_Z,PT,CIV,A,,,0,,PU,52.3987,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2018,,,_T,False,WB_MPM,602,A,_Z,PT,CIV,A,,,0,,PU,37.2734,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2021,,,_T,True,WB_MPM,602,A,_Z,PT,CIV,A,,,0,,PU,29.1771,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2014,,,_T,False,WB_MPM,602,A,_Z,PT,CMR,A,,,0,,PU,37.5453,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2021,,,_T,True,WB_MPM,602,A,_Z,PT,CMR,A,,,0,,PU,41.0059,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2012,,,_T,False,WB_MPM,602,A,_Z,PT,COD,A,,,0,,PU,78.2809,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2020,,,_T,True,WB_MPM,602,A,_Z,PT,COD,A,,,0,,PU,83.6358,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2011,,,_T,True,WB_MPM,602,A,_Z,PT,COG,A,,,0,,PU,41.5807,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2010,,,_T,False,WB_MPM,602,A,_Z,PT,COL,A,,,0,,PU,9.87967,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2011,,,_T,False,WB_MPM,602,A,_Z,PT,COL,A,,,0,,PU,8.39731,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2012,,,_T,False,WB_MPM,602,A,_Z,PT,COL,A,,,0,,PU,8.09077,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2013,,,_T,False,WB_MPM,602,A,_Z,PT,COL,A,,,0,,PU,7.22822,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2014,,,_T,False,WB_MPM,602,A,_Z,PT,COL,A,,,0,,PU,6.41427,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2015,,,_T,False,WB_MPM,602,A,_Z,PT,COL,A,,,0,,PU,5.80233,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2016,,,_T,False,WB_MPM,602,A,_Z,PT,COL,A,,,0,,PU,5.63143,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2017,,,_T,False,WB_MPM,602,A,_Z,PT,COL,A,,,0,,PU,5.02823,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2018,,,_T,False,WB_MPM,602,A,_Z,PT,COL,A,,,0,,PU,5.14487,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2019,,,_T,False,WB_MPM,602,A,_Z,PT,COL,A,,,0,,PU,5.85251,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2020,,,_T,False,WB_MPM,602,A,_Z,PT,COL,A,,,0,,PU,7.81799,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2021,,,_T,False,WB_MPM,602,A,_Z,PT,COL,A,,,0,,PU,7.69817,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2022,,,_T,True,WB_MPM,602,A,_Z,PT,COL,A,,,0,,PU,6.50938,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2015,,,_T,True,WB_MPM,602,A,_Z,PT,CPV,A,,,0,,PU,7.60978,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2010,,,_T,False,WB_MPM,602,A,_Z,PT,CRI,A,,,0,,PU,2.03471,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2011,,,_T,False,WB_MPM,602,A,_Z,PT,CRI,A,,,0,,PU,2.1193,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2012,,,_T,False,WB_MPM,602,A,_Z,PT,CRI,A,,,0,,PU,1.95108,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2013,,,_T,False,WB_MPM,602,A,_Z,PT,CRI,A,,,0,,PU,1.92327,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2014,,,_T,False,WB_MPM,602,A,_Z,PT,CRI,A,,,0,,PU,1.7657,_Z,_T
